keys,vi,en

LOGIN_TITLE,Đăng nhập,Login

BTN_LOGIN,Tài khoản,Account
BTN_GUEST,Khách,Guest
BTN_CONTINUE,Tiếp tục,Continue
BTN_NEW_GAME,Chơi mới,New game
BTN_SETTINGS,Cài đặt,Settings
BTN_QUIT,Thoát,Quit
BTN_DEFAULT,Mặc định,Default
BTN_APPLY,Áp dụng,Apply
BTN_CLOSE,Đóng,Close

SECTION_DISPLAY,Hiển thị,Display
SECTION_AUDIO,Âm thanh,Audio

LABEL_RESOLUTION,Độ phân giải,Resolution
LABEL_FULLSCREEN,Toàn màn hình,Fullscreen
LABEL_LANGUAGE,Ngôn ngữ,Language
LABEL_MUSIC,Nhạc nền,Music
LABEL_SFX,Hiệu ứng SFX,SFX
LABEL_AMBIENT,Môi trường,Ambient
